book,projection_id,sport,league,player_id,player_name,team,opponent,position,game_id,stat_type,stat,map_from,map_to,combo,combo_players,voidable,board_time,start_time,open_line,open_seen_at,current_line,current_odds_type,last_seen_at,status,odds_over,odds_under
prizepicks,15197806,lol,LoL,95225,Bvoy,SR,FLY,BOT,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,10.0,2026-09-25T05:34:18+00:00,10.0,standard,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198923,lol,LoL,95225,Bvoy,SR,FLY,BOT,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,7.5,2026-09-25T05:34:18+00:00,7.5,goblin,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15197990,lol,LoL,225989,Zeyzal,SR,FLY,SUP,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,1.5,2026-09-25T05:34:18+00:00,1.5,goblin,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15213032,cs2,,328534,Brollan,HEROIC,fnatic,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,30.5,2026-09-25T05:34:20+00:00,30.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213033,cs2,,328535,MartinezSa,HEROIC,fnatic,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,31.5,2026-09-25T05:34:20+00:00,31.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213034,cs2,,247237,nilo,HEROIC,fnatic,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,32.5,2026-09-25T05:34:20+00:00,32.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213035,cs2,,291757,Chr1zn,HEROIC,fnatic,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,27.5,2026-09-25T05:34:20+00:00,27.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213036,cs2,,291758,susp,HEROIC,fnatic,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,27.5,2026-09-25T05:34:20+00:00,27.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213037,cs2,,224279,fear,fnatic,HEROIC,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,23.5,2026-09-25T05:34:20+00:00,23.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213038,cs2,,166332,jambo,fnatic,HEROIC,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,31.5,2026-09-25T05:34:20+00:00,31.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213039,cs2,,267308,jackasmo,fnatic,HEROIC,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,28.5,2026-09-25T05:34:20+00:00,28.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213040,cs2,,328136,cairne,fnatic,HEROIC,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,28.5,2026-09-25T05:34:20+00:00,28.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213041,cs2,,328137,mazay,fnatic,HEROIC,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,25.5,2026-09-25T05:34:20+00:00,25.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213042,cs2,,328534,Brollan,HEROIC,fnatic,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Headshots,headshots,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,17.5,2026-09-25T05:34:20+00:00,17.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213043,cs2,,328535,MartinezSa,HEROIC,fnatic,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Headshots,headshots,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,12.5,2026-09-25T05:34:20+00:00,12.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213044,cs2,,247237,nilo,HEROIC,fnatic,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Headshots,headshots,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,19.5,2026-09-25T05:34:20+00:00,19.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213045,cs2,,291757,Chr1zn,HEROIC,fnatic,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Headshots,headshots,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,15.5,2026-09-25T05:34:20+00:00,15.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213046,cs2,,291758,susp,HEROIC,fnatic,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Headshots,headshots,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,15.5,2026-09-25T05:34:20+00:00,15.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213047,cs2,,224279,fear,fnatic,HEROIC,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Headshots,headshots,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,11.5,2026-09-25T05:34:20+00:00,11.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213048,cs2,,166332,jambo,fnatic,HEROIC,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Headshots,headshots,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,12.5,2026-09-25T05:34:20+00:00,12.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213049,cs2,,267308,jackasmo,fnatic,HEROIC,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Headshots,headshots,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,16.5,2026-09-25T05:34:20+00:00,16.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213050,cs2,,328136,cairne,fnatic,HEROIC,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Headshots,headshots,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,15.5,2026-09-25T05:34:20+00:00,15.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15213051,cs2,,328137,mazay,fnatic,HEROIC,G,fnaticHEROIC46290.1666666667,MAPS 1-2 Headshots,headshots,1,2,0,,0,2026-09-24T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,14.5,2026-09-25T05:34:20+00:00,14.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15195529,cs2,,344469,l0gicman,PCIFIC,Bebop,G,CS2_match_UxNgW4Mw0HHRbppXg7WzlRil,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-01T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,26.5,2026-09-25T05:34:20+00:00,26.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15195530,cs2,,325386,lugseN,PCIFIC,Bebop,G,CS2_match_UxNgW4Mw0HHRbppXg7WzlRil,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-01T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,32.5,2026-09-25T05:34:20+00:00,32.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15195531,cs2,,325385,jresy,PCIFIC,Bebop,G,CS2_match_UxNgW4Mw0HHRbppXg7WzlRil,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-01T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,31.5,2026-09-25T05:34:20+00:00,31.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15195532,cs2,,325389,scolleN,PCIFIC,Bebop,G,CS2_match_UxNgW4Mw0HHRbppXg7WzlRil,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-01T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,28.5,2026-09-25T05:34:20+00:00,28.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
prizepicks,15195533,cs2,,337579,oyesil,PCIFIC,Bebop,G,CS2_match_UxNgW4Mw0HHRbppXg7WzlRil,MAPS 1-2 Kills,kills,1,2,0,,0,2026-09-01T04:00:00.000-04:00,2026-09-25T04:00:00.000-04:00,27.5,2026-09-25T05:34:20+00:00,27.5,standard,2026-09-25T05:34:20+00:00,pre_game,,
